 RNN: 32 LSTM

 --- 32 ---, Experiment: 2,  Epoch: 28, Average train loss: 1.616139, Train accuracy: 0.334210, Valid accuracy: 0.246106, Test accuracy: 0.276695
 --- 32 ---, Experiment: 2,  Epoch: 29, Average train loss: 1.611532, Train accuracy: 0.337715, Valid accuracy: 0.246885, Test accuracy: 0.275916
 --- 32 ---, Experiment: 3,  Epoch: 0, Average train loss: 1.793630, Train accuracy: 0.216574, Valid accuracy: 0.234424, Test accuracy: 0.229930
 --- 32 ---, Experiment: 3,  Epoch: 1, Average train loss: 1.759707, Train accuracy: 0.222514, Valid accuracy: 0.239097, Test accuracy: 0.243959
 --- 32 ---, Experiment: 3,  Epoch: 2, Average train loss: 1.750292, Train accuracy: 0.233713, Valid accuracy: 0.253894, Test accuracy: 0.243180
 --- 32 ---, Experiment: 3,  Epoch: 3, Average train loss: 1.742580, Train accuracy: 0.240238, Valid accuracy: 0.250000, Test accuracy: 0.248636
 --- 32 ---, Experiment: 3,  Epoch: 4, Average train loss: 1.736001, Train accuracy: 0.245301, Valid accuracy: 0.245327, Test accuracy: 0.250195
 --- 32 ---, Experiment: 3,  Epoch: 5, Average train loss: 1.730166, Train accuracy: 0.253092, Valid accuracy: 0.242212, Test accuracy: 0.245518
 --- 32 ---, Experiment: 3,  Epoch: 6, Average train loss: 1.724566, Train accuracy: 0.258837, Valid accuracy: 0.240654, Test accuracy: 0.250195
 --- 32 ---, Experiment: 3,  Epoch: 7, Average train loss: 1.718894, Train accuracy: 0.264193, Valid accuracy: 0.243769, Test accuracy: 0.253313
 --- 32 ---, Experiment: 3,  Epoch: 8, Average train loss: 1.713032, Train accuracy: 0.268575, Valid accuracy: 0.236760, Test accuracy: 0.249415
 --- 32 ---, Experiment: 3,  Epoch: 9, Average train loss: 1.707017, Train accuracy: 0.272178, Valid accuracy: 0.243769, Test accuracy: 0.252533
 --- 32 ---, Experiment: 3,  Epoch: 10, Average train loss: 1.700994, Train accuracy: 0.273542, Valid accuracy: 0.243769, Test accuracy: 0.258768
 --- 32 ---, Experiment: 3,  Epoch: 11, Average train loss: 1.695117, Train accuracy: 0.278898, Valid accuracy: 0.248442, Test accuracy: 0.254871
 --- 32 ---, Experiment: 3,  Epoch: 12, Average train loss: 1.689406, Train accuracy: 0.282988, Valid accuracy: 0.251558, Test accuracy: 0.259548
 --- 32 ---, Experiment: 3,  Epoch: 13, Average train loss: 1.683838, Train accuracy: 0.287175, Valid accuracy: 0.250000, Test accuracy: 0.265004
 --- 32 ---, Experiment: 3,  Epoch: 14, Average train loss: 1.678415, Train accuracy: 0.292336, Valid accuracy: 0.257788, Test accuracy: 0.259548
 --- 32 ---, Experiment: 3,  Epoch: 15, Average train loss: 1.673135, Train accuracy: 0.294479, Valid accuracy: 0.262461, Test accuracy: 0.259548
 --- 32 ---, Experiment: 3,  Epoch: 16, Average train loss: 1.667975, Train accuracy: 0.297887, Valid accuracy: 0.264798, Test accuracy: 0.261886
 --- 32 ---, Experiment: 3,  Epoch: 17, Average train loss: 1.662906, Train accuracy: 0.299834, Valid accuracy: 0.266355, Test accuracy: 0.261886
 --- 32 ---, Experiment: 3,  Epoch: 18, Average train loss: 1.657911, Train accuracy: 0.302658, Valid accuracy: 0.267134, Test accuracy: 0.262666
 --- 32 ---, Experiment: 3,  Epoch: 19, Average train loss: 1.652989, Train accuracy: 0.306164, Valid accuracy: 0.268692, Test accuracy: 0.264224
 --- 32 ---, Experiment: 3,  Epoch: 20, Average train loss: 1.648141, Train accuracy: 0.310741, Valid accuracy: 0.271028, Test accuracy: 0.263445
 --- 32 ---, Experiment: 3,  Epoch: 21, Average train loss: 1.643354, Train accuracy: 0.314831, Valid accuracy: 0.272586, Test accuracy: 0.259548
 --- 32 ---, Experiment: 3,  Epoch: 22, Average train loss: 1.638614, Train accuracy: 0.319116, Valid accuracy: 0.268692, Test accuracy: 0.260327
 --- 32 ---, Experiment: 3,  Epoch: 23, Average train loss: 1.633908, Train accuracy: 0.322816, Valid accuracy: 0.264798, Test accuracy: 0.260327
 --- 32 ---, Experiment: 3,  Epoch: 24, Average train loss: 1.629218, Train accuracy: 0.327004, Valid accuracy: 0.264019, Test accuracy: 0.263445
 --- 32 ---, Experiment: 3,  Epoch: 25, Average train loss: 1.624531, Train accuracy: 0.328756, Valid accuracy: 0.260125, Test accuracy: 0.261886
 --- 32 ---, Experiment: 3,  Epoch: 26, Average train loss: 1.619833, Train accuracy: 0.330607, Valid accuracy: 0.261682, Test accuracy: 0.258768
 --- 32 ---, Experiment: 3,  Epoch: 27, Average train loss: 1.615121, Train accuracy: 0.333918, Valid accuracy: 0.258567, Test accuracy: 0.260327
 --- 32 ---, Experiment: 3,  Epoch: 28, Average train loss: 1.610404, Train accuracy: 0.337618, Valid accuracy: 0.257788, Test accuracy: 0.259548
 --- 32 ---, Experiment: 3,  Epoch: 29, Average train loss: 1.605686, Train accuracy: 0.341319, Valid accuracy: 0.260903, Test accuracy: 0.257989
 --- 32 ---, Experiment: 4,  Epoch: 0, Average train loss: 1.774070, Train accuracy: 0.214334, Valid accuracy: 0.197040, Test accuracy: 0.194856
 --- 32 ---, Experiment: 4,  Epoch: 1, Average train loss: 1.760751, Train accuracy: 0.226896, Valid accuracy: 0.203271, Test accuracy: 0.217459
 --- 32 ---, Experiment: 4,  Epoch: 2, Average train loss: 1.753560, Train accuracy: 0.235466, Valid accuracy: 0.207165, Test accuracy: 0.222136
 --- 32 ---, Experiment: 4,  Epoch: 3, Average train loss: 1.746408, Train accuracy: 0.241796, Valid accuracy: 0.214174, Test accuracy: 0.230709
 --- 32 ---, Experiment: 4,  Epoch: 4, Average train loss: 1.739028, Train accuracy: 0.244912, Valid accuracy: 0.218069, Test accuracy: 0.226033
 --- 32 ---, Experiment: 4,  Epoch: 5, Average train loss: 1.731988, Train accuracy: 0.251047, Valid accuracy: 0.221963, Test accuracy: 0.236945
 --- 32 ---, Experiment: 4,  Epoch: 6, Average train loss: 1.725453, Train accuracy: 0.257182, Valid accuracy: 0.226636, Test accuracy: 0.244739
 --- 32 ---, Experiment: 4,  Epoch: 7, Average train loss: 1.719148, Train accuracy: 0.260785, Valid accuracy: 0.234424, Test accuracy: 0.240062
 --- 32 ---, Experiment: 4,  Epoch: 8, Average train loss: 1.712897, Train accuracy: 0.263219, Valid accuracy: 0.228193, Test accuracy: 0.244739
 --- 32 ---, Experiment: 4,  Epoch: 9, Average train loss: 1.706664, Train accuracy: 0.266628, Valid accuracy: 0.230530, Test accuracy: 0.242401
 --- 32 ---, Experiment: 4,  Epoch: 10, Average train loss: 1.700520, Train accuracy: 0.271205, Valid accuracy: 0.235202, Test accuracy: 0.247077
 --- 32 ---, Experiment: 4,  Epoch: 11, Average train loss: 1.694553, Train accuracy: 0.277437, Valid accuracy: 0.236760, Test accuracy: 0.257210
 --- 32 ---, Experiment: 4,  Epoch: 12, Average train loss: 1.688779, Train accuracy: 0.281527, Valid accuracy: 0.239097, Test accuracy: 0.260327
 --- 32 ---, Experiment: 4,  Epoch: 13, Average train loss: 1.683173, Train accuracy: 0.288538, Valid accuracy: 0.239875, Test accuracy: 0.266563
 --- 32 ---, Experiment: 4,  Epoch: 14, Average train loss: 1.677712, Train accuracy: 0.294673, Valid accuracy: 0.243769, Test accuracy: 0.265004
 --- 32 ---, Experiment: 4,  Epoch: 15, Average train loss: 1.672381, Train accuracy: 0.298666, Valid accuracy: 0.246106, Test accuracy: 0.270460
 --- 32 ---, Experiment: 4,  Epoch: 16, Average train loss: 1.667165, Train accuracy: 0.302951, Valid accuracy: 0.244548, Test accuracy: 0.266563
 --- 32 ---, Experiment: 4,  Epoch: 17, Average train loss: 1.662052, Train accuracy: 0.306748, Valid accuracy: 0.245327, Test accuracy: 0.266563
 --- 32 ---, Experiment: 4,  Epoch: 18, Average train loss: 1.657030, Train accuracy: 0.311520, Valid accuracy: 0.244548, Test accuracy: 0.269680
 --- 32 ---, Experiment: 4,  Epoch: 19, Average train loss: 1.652085, Train accuracy: 0.315513, Valid accuracy: 0.250779, Test accuracy: 0.265783
 --- 32 ---, Experiment: 4,  Epoch: 20, Average train loss: 1.647202, Train accuracy: 0.318434, Valid accuracy: 0.250000, Test accuracy: 0.265783
 --- 32 ---, Experiment: 4,  Epoch: 21, Average train loss: 1.642374, Train accuracy: 0.322135, Valid accuracy: 0.251558, Test accuracy: 0.265783
 --- 32 ---, Experiment: 4,  Epoch: 22, Average train loss: 1.637595, Train accuracy: 0.325640, Valid accuracy: 0.246106, Test accuracy: 0.260327
 --- 32 ---, Experiment: 4,  Epoch: 23, Average train loss: 1.632858, Train accuracy: 0.329438, Valid accuracy: 0.250000, Test accuracy: 0.259548
 --- 32 ---, Experiment: 4,  Epoch: 24, Average train loss: 1.628149, Train accuracy: 0.331775, Valid accuracy: 0.247664, Test accuracy: 0.257989
 --- 32 ---, Experiment: 4,  Epoch: 25, Average train loss: 1.623457, Train accuracy: 0.334697, Valid accuracy: 0.250000, Test accuracy: 0.254871
 --- 32 ---, Experiment: 4,  Epoch: 26, Average train loss: 1.618770, Train accuracy: 0.336450, Valid accuracy: 0.246885, Test accuracy: 0.251754
 --- 32 ---, Experiment: 4,  Epoch: 27, Average train loss: 1.614079, Train accuracy: 0.338592, Valid accuracy: 0.248442, Test accuracy: 0.252533
 --- 32 ---, Experiment: 4,  Epoch: 28, Average train loss: 1.609389, Train accuracy: 0.343169, Valid accuracy: 0.251558, Test accuracy: 0.252533
 --- 32 ---, Experiment: 4,  Epoch: 29, Average train loss: 1.604700, Train accuracy: 0.344629, Valid accuracy: 0.246885, Test accuracy: 0.253313
[0.27647975, 0.26791278, 0.24766356, 0.27258566, 0.25155762]
 Best Mean: 0.263240, Min: 0.247664, Max: 0.276480


 RNN: 64 LSTM

 --- 64 ---, Experiment: 0,  Epoch: 0, Average train loss: 1.792073, Train accuracy: 0.218424, Valid accuracy: 0.214174, Test accuracy: 0.221356
 --- 64 ---, Experiment: 0,  Epoch: 1, Average train loss: 1.756040, Train accuracy: 0.232934, Valid accuracy: 0.222741, Test accuracy: 0.234606
