 Embeddings: glove_100d_6b

 --- glove_100d_6b ---, Experiment: 3,  Epoch: 0, Average train loss: 1.772623, Train accuracy: 0.259714, Valid accuracy: 0.233645, Test accuracy: 0.237724
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 1, Average train loss: 1.748848, Train accuracy: 0.268381, Valid accuracy: 0.244548, Test accuracy: 0.243180
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 2, Average train loss: 1.736389, Train accuracy: 0.275781, Valid accuracy: 0.250779, Test accuracy: 0.240062
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 3, Average train loss: 1.724861, Train accuracy: 0.289317, Valid accuracy: 0.254673, Test accuracy: 0.240062
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 4, Average train loss: 1.714451, Train accuracy: 0.298958, Valid accuracy: 0.253894, Test accuracy: 0.247077
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 5, Average train loss: 1.706868, Train accuracy: 0.307625, Valid accuracy: 0.255452, Test accuracy: 0.247857
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 6, Average train loss: 1.701759, Train accuracy: 0.314344, Valid accuracy: 0.260125, Test accuracy: 0.245518
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 7, Average train loss: 1.692645, Train accuracy: 0.323011, Valid accuracy: 0.253115, Test accuracy: 0.243180
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 8, Average train loss: 1.685710, Train accuracy: 0.331970, Valid accuracy: 0.258567, Test accuracy: 0.247077
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 9, Average train loss: 1.677523, Train accuracy: 0.337229, Valid accuracy: 0.261682, Test accuracy: 0.249415
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 10, Average train loss: 1.672200, Train accuracy: 0.341221, Valid accuracy: 0.262461, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 11, Average train loss: 1.665511, Train accuracy: 0.348330, Valid accuracy: 0.265576, Test accuracy: 0.254092
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 12, Average train loss: 1.659728, Train accuracy: 0.353491, Valid accuracy: 0.260125, Test accuracy: 0.251754
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 13, Average train loss: 1.655556, Train accuracy: 0.360113, Valid accuracy: 0.269470, Test accuracy: 0.253313
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 14, Average train loss: 1.649210, Train accuracy: 0.368488, Valid accuracy: 0.266355, Test accuracy: 0.250195
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 15, Average train loss: 1.641914, Train accuracy: 0.373844, Valid accuracy: 0.265576, Test accuracy: 0.254871
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 16, Average train loss: 1.633526, Train accuracy: 0.380952, Valid accuracy: 0.271807, Test accuracy: 0.254092
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 17, Average train loss: 1.630500, Train accuracy: 0.386211, Valid accuracy: 0.267134, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 18, Average train loss: 1.625550, Train accuracy: 0.386990, Valid accuracy: 0.269470, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 19, Average train loss: 1.619145, Train accuracy: 0.394488, Valid accuracy: 0.264798, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 20, Average train loss: 1.613426, Train accuracy: 0.399844, Valid accuracy: 0.265576, Test accuracy: 0.261107
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 21, Average train loss: 1.606827, Train accuracy: 0.402766, Valid accuracy: 0.262461, Test accuracy: 0.257210
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 22, Average train loss: 1.602094, Train accuracy: 0.409290, Valid accuracy: 0.259346, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 23, Average train loss: 1.596282, Train accuracy: 0.412991, Valid accuracy: 0.263240, Test accuracy: 0.258768
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 24, Average train loss: 1.590377, Train accuracy: 0.417762, Valid accuracy: 0.261682, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 25, Average train loss: 1.585943, Train accuracy: 0.422047, Valid accuracy: 0.261682, Test accuracy: 0.256430
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 26, Average train loss: 1.582448, Train accuracy: 0.425845, Valid accuracy: 0.264798, Test accuracy: 0.261107
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 27, Average train loss: 1.576833, Train accuracy: 0.431201, Valid accuracy: 0.262461, Test accuracy: 0.259548
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 28, Average train loss: 1.568701, Train accuracy: 0.433733, Valid accuracy: 0.266355, Test accuracy: 0.260327
 --- glove_100d_6b ---, Experiment: 3,  Epoch: 29, Average train loss: 1.567807, Train accuracy: 0.438991, Valid accuracy: 0.263240, Test accuracy: 0.254092
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 0, Average train loss: 1.781573, Train accuracy: 0.223780, Valid accuracy: 0.203271, Test accuracy: 0.229150
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 1, Average train loss: 1.753587, Train accuracy: 0.247444, Valid accuracy: 0.221963, Test accuracy: 0.226033
 --- glove_100d_6b ---, Experiment: 4,  Epoch: 2, Average train loss: 1.741071, Train accuracy: 0.265459, Valid accuracy: 0.232087, Test accuracy: 0.237724
