 CRNN

 --- Experiment: 2,  Epoch: 7, Average train loss: 1.648774, Train accuracy: 0.325932, Valid accuracy: 0.271028, Test accuracy: 0.276695
 --- Experiment: 2,  Epoch: 8, Average train loss: 1.637454, Train accuracy: 0.334794, Valid accuracy: 0.264019, Test accuracy: 0.277475
 --- Experiment: 2,  Epoch: 9, Average train loss: 1.624574, Train accuracy: 0.344337, Valid accuracy: 0.261682, Test accuracy: 0.272798
 --- Experiment: 2,  Epoch: 10, Average train loss: 1.608884, Train accuracy: 0.353004, Valid accuracy: 0.255452, Test accuracy: 0.280592
 --- Experiment: 2,  Epoch: 11, Average train loss: 1.594400, Train accuracy: 0.361671, Valid accuracy: 0.257009, Test accuracy: 0.277475
 --- Experiment: 2,  Epoch: 12, Average train loss: 1.577110, Train accuracy: 0.371506, Valid accuracy: 0.262461, Test accuracy: 0.274357
 --- Experiment: 2,  Epoch: 13, Average train loss: 1.560982, Train accuracy: 0.381731, Valid accuracy: 0.256231, Test accuracy: 0.274357
 --- Experiment: 2,  Epoch: 14, Average train loss: 1.544148, Train accuracy: 0.393417, Valid accuracy: 0.261682, Test accuracy: 0.268122
 --- Experiment: 2,  Epoch: 15, Average train loss: 1.529923, Train accuracy: 0.407829, Valid accuracy: 0.255452, Test accuracy: 0.270460
 --- Experiment: 2,  Epoch: 16, Average train loss: 1.506204, Train accuracy: 0.422339, Valid accuracy: 0.258567, Test accuracy: 0.266563
 --- Experiment: 2,  Epoch: 17, Average train loss: 1.488115, Train accuracy: 0.436654, Valid accuracy: 0.264019, Test accuracy: 0.265004
 --- Experiment: 2,  Epoch: 18, Average train loss: 1.467372, Train accuracy: 0.451164, Valid accuracy: 0.261682, Test accuracy: 0.267342
 --- Experiment: 2,  Epoch: 19, Average train loss: 1.449873, Train accuracy: 0.464018, Valid accuracy: 0.253115, Test accuracy: 0.267342
 --- Experiment: 2,  Epoch: 20, Average train loss: 1.427351, Train accuracy: 0.479696, Valid accuracy: 0.257788, Test accuracy: 0.260327
 --- Experiment: 2,  Epoch: 21, Average train loss: 1.412135, Train accuracy: 0.486805, Valid accuracy: 0.251558, Test accuracy: 0.262666
 --- Experiment: 2,  Epoch: 22, Average train loss: 1.390025, Train accuracy: 0.488168, Valid accuracy: 0.263240, Test accuracy: 0.252533
 --- Experiment: 2,  Epoch: 23, Average train loss: 1.367309, Train accuracy: 0.513779, Valid accuracy: 0.258567, Test accuracy: 0.257210
 --- Experiment: 2,  Epoch: 24, Average train loss: 1.350385, Train accuracy: 0.521180, Valid accuracy: 0.254673, Test accuracy: 0.255651
 --- Experiment: 2,  Epoch: 25, Average train loss: 1.329589, Train accuracy: 0.531113, Valid accuracy: 0.257788, Test accuracy: 0.245518
 --- Experiment: 2,  Epoch: 26, Average train loss: 1.313983, Train accuracy: 0.539001, Valid accuracy: 0.250779, Test accuracy: 0.257210
 --- Experiment: 2,  Epoch: 27, Average train loss: 1.297784, Train accuracy: 0.549128, Valid accuracy: 0.253894, Test accuracy: 0.255651
 --- Experiment: 2,  Epoch: 28, Average train loss: 1.276415, Train accuracy: 0.551173, Valid accuracy: 0.247664, Test accuracy: 0.251754
 --- Experiment: 2,  Epoch: 29, Average train loss: 1.257366, Train accuracy: 0.572208, Valid accuracy: 0.257788, Test accuracy: 0.250195
 --- Experiment: 3,  Epoch: 0, Average train loss: 1.768832, Train accuracy: 0.250268, Valid accuracy: 0.235981, Test accuracy: 0.205768
 --- Experiment: 3,  Epoch: 1, Average train loss: 1.738646, Train accuracy: 0.263512, Valid accuracy: 0.236760, Test accuracy: 0.233048
 --- Experiment: 3,  Epoch: 2, Average train loss: 1.717855, Train accuracy: 0.278411, Valid accuracy: 0.249221, Test accuracy: 0.253313
 --- Experiment: 3,  Epoch: 3, Average train loss: 1.701411, Train accuracy: 0.288928, Valid accuracy: 0.250779, Test accuracy: 0.257210
 --- Experiment: 3,  Epoch: 4, Average train loss: 1.686652, Train accuracy: 0.300029, Valid accuracy: 0.253115, Test accuracy: 0.265004
 --- Experiment: 3,  Epoch: 5, Average train loss: 1.674227, Train accuracy: 0.309670, Valid accuracy: 0.259346, Test accuracy: 0.262666
 --- Experiment: 3,  Epoch: 6, Average train loss: 1.660735, Train accuracy: 0.318045, Valid accuracy: 0.257788, Test accuracy: 0.268901
 --- Experiment: 3,  Epoch: 7, Average train loss: 1.647167, Train accuracy: 0.325446, Valid accuracy: 0.249221, Test accuracy: 0.268122
 --- Experiment: 3,  Epoch: 8, Average train loss: 1.634827, Train accuracy: 0.337131, Valid accuracy: 0.253894, Test accuracy: 0.269680
